Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
C001,one different,Unknown,Unknown,Calm,0.0
C002,This is the Blocopia Bank in 1302 with the Transnational Speedway call of art. Okay.,Unknown,Unknown,Distressed,0.0
C003,Yeah? Yeah. Yeah. Yeah. Yeah. Yeah.,Unknown,Unknown,Calm,0.0
C004,"Yes, we're at the Nelson building and there's some men here with the bus to clean into the board meeting. Okay, you're at",Unknown,Unknown,Calm,0.0
C005,"Listen, we're playing really bad at this. Okay, so get on our track, mate. People, you gotta track, mate, you b****.",Unknown,Unknown,Distressed,0.0
C006,...,Unknown,Unknown,Calm,0.0
C007,"I'm locking in the field and I'm looking for a champ. You're walking in the field. OK, and you should just stop. OK, I'm going to try to find you.",Unknown,Unknown,Concerned,0.1
C008,Marg massacre deBen,Unknown,Unknown,Distressed,0.0
C009,"They'll remember to come out, and the others figured they're using us.",Unknown,Unknown,Calm,0.0
C010,"Okay, it's out for the study. Down there in the hall. We'll grab any photos. Okay.",Unknown,Unknown,Concerned,0.0
C011,"Yes, that's two sub-pro here that's the 8 on the ground. Okay, he did get it.",Unknown,Unknown,Calm,0.0
C012,"I mean, I'll wait behind the... ...and the fighters won't turn off.",Assault,Unknown,Calm,0.2
C013,I'm here at the police station. I'm going to hold. Okay.,Unknown,Unknown,Calm,0.0
C014,"Yes, ma'am, I need to go out and leave quickly. Down the church. Change.",Unknown,Unknown,Distressed,0.3
C015,"Ma'am, my cat is a person. I had to go find it.",Unknown,Unknown,Concerned,0.0
C016,"Hello? Hello? Hello? Hello? Oh, that one was...",Unknown,Unknown,Distressed,0.0
C017,"I'm across 4709, 40th Avenue. And to your point, our Energy Clatching Pratt.",Unknown,40th Avenue,Calm,0.0
C018,I need somebody escorted out of my store right away. He's causing problems.,Unknown,Unknown,Distressed,0.0
C019,Hello! Hello! Hello 911!,Unknown,Unknown,Calm,0.15
C020,"I got three people, the second people, thank you. They're taking kids? Yes sir.",Unknown,Unknown,Calm,0.0
C021,"Hey, um, they just woke into my house. They had guns. They told us to just be on the floor. They're splousers like",Assault,Unknown,Distressed,0.3
C022,"Um, I took some pills and um, the pills were really good mad, and um...",Medical,Unknown,Calm,0.0
C023,"All right, well, the thing is, I was just flying with my buddy. You were sliding? I was flying.",Unknown,Unknown,Calm,0.0
C024,"If somebody stays with Diane, I'm home alone and he's not here. My daughter is here. If somebody is here, quick.",Unknown,Unknown,Distressed,0.0
C025,"I don't have an emergency tube for this stuff, it just left my house just now.",Unknown,Unknown,Distressed,0.6
C026,My house is on fire. I don't know how to sleep in and I'll go to someone doom and I'll,Fire,Unknown,Distressed,0.7
C027,"Hi, my name is Maria. I'm calling because my teacher, Mr. Haines,",Unknown,Unknown,Calm,0.0
C028,"Yes, I have a gun and I don't it's from LA car loaded and something just got shot.",Assault,LA,Distressed,0.65
C029,"I have a friend who's been drinking, I've been trying to help him since him too. He is now loading several weapons in a minute.",Assault,Unknown,Distressed,0.9
C030,"I'm a police at where the heck am I? 291 water counts, three to immediately. We just had bullets.",Unknown,Unknown,Distressed,0.35
C031,I'm not sure my friend is called and basically told me she was going to kill herself and I think she probably will.,Unknown,Unknown,Distressed,0.0
C032,"with the address, 750 south to 50 west.",Unknown,Unknown,Calm,0.0
C033,"emergency. Fire. Cutting wood. So, what's the location?",Fire,Unknown,Distressed,0.6
C034,"It's not my, I mean, I haven't made it, I haven't possible, I haven't won overdose.",Medical,Unknown,Distressed,0.0
C035,"Turn right here, then. Man...",Unknown,Unknown,Calm,0.0
C036,"Yeah man, I'm a bit late today and we're in the road. We're going to see the gas.",Unknown,Unknown,Calm,0.0
C037,and hoping for 29 and 2 with forces and I just ran a call just coming down the long lane. tester,Unknown,Unknown,Distressed,0.0
C038,"Now, I won't let you know that I'm sleepy. But I heard my doorbell ringing out.",Unknown,Unknown,Calm,0.3
C039,"Please come down here. What's your, what? I don't know that address. You're gonna have to be in the end of the answers.",Unknown,Unknown,Distressed,0.6
